Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,AIS Rank,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
Review of Keynesian Economics,REV KEYNES ECON,EDWARD ELGAR PUBLISHING LTD,2049-5323,2049-5331,ECONOMICS,SSCI,517,2.7,Q1,0.79,0.00%,139/617,1.9,Q2,2.5,0.6,183/617,Q2,70.42,0.00066,0.14715,0.589,77.6,Q2,242/575,27,92.59%,5.3,10.7,25
International Journal of the Economics of Business,INT J ECON BUS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1357-1516,1466-1829,ECONOMICS,ESCI,513,0.9,Q3,0.3,26.32%,421/617,1.7,Q2,0.9,<0.1,422/617,Q3,31.69,0.0005,0.11341,0.672,31.8,Q2,212/575,15,86.67%,13.1,10.9,13
CHINESE ECONOMY,CHIN ECON,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1097-1475,1558-0954,ECONOMICS,ESCI,508,1.8,Q2,0.45,12.05%,234/617,1.8,Q2,1.5,0.1,319/617,Q3,48.38,0.00033,0.074,0.288,62.2,Q3,390/575,43,100.00%,5.8,7.2,43
E & M Ekonomie a Management,E M EKON MANAG,TECHNICAL UNIV LIBEREC,1212-3609,2336-5064,ECONOMICS,SSCI,506,1.2,Q3,0.38,100.00%,349/617,1.1,Q3,1,0.4,366/617,Q3,40.76,0.00027,0.0609,0.137,43.5,Q4,486/575,54,100.00%,5.2,6.2,54
QME-Quantitative Marketing and Economics,QME-QUANT MARK ECON,SPRINGER,1570-7156,1573-711X,ECONOMICS,SSCI,503,1.1,Q3,0.51,41.86%,372/617,1.5,Q3,1.1,0.5,293/617,Q2,52.59,0.00088,0.19731,1.726,39.8,Q1,82/575,13,100.00%,12.5,9.9,13
Asia-Pacific Financial Markets,ASIA-PAC FINANC MARK,SPRINGER,1387-2834,1573-6946,ECONOMICS,ESCI,501,2.6,Q1,0.77,8.00%,145/617,2,Q2,1.8,0.5,189/617,Q2,69.45,0.00034,0.07567,0.239,76.6,Q3,425/575,66,98.48%,3,7.4,65
Journal of Industrial and Business Economics,J IND BUS ECON,SPRINGERNATURE,0391-2078,1972-4977,ECONOMICS,ESCI,501,2.5,Q1,0.65,40.87%,153/617,3,Q2,2.4,0.5,236/617,Q2,61.83,0.00096,0.21364,0.764,75.3,Q2,188/575,45,95.56%,4.1,9.5,43
EASTERN EUROPEAN ECONOMICS,EASTERN EUR ECON,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0012-8775,1557-9298,ECONOMICS,SSCI,498,1.2,Q3,0.4,17.32%,349/617,1.3,Q3,1.1,0.1,353/617,Q3,42.87,0.00032,0.07319,0.249,43.5,Q3,415/575,37,100.00%,7.3,9.1,37
German Economic Review,GER ECON REV,WALTER DE GRUYTER GMBH,1465-6485,1468-0475,ECONOMICS,SSCI,497,1.4,Q3,0.38,15.91%,309/617,1.2,Q3,1.4,0.1,366/617,Q3,40.76,0.00056,0.12597,0.592,50,Q2,240/575,14,100.00%,10.6,11.2,14
CESifo Economic Studies,CESIFO ECON STUD,OXFORD UNIV PRESS,1610-241X,1612-7501,ECONOMICS,SSCI,496,0.9,Q3,0.31,21.15%,421/617,1.4,Q3,0.9,0.7,418/617,Q3,32.33,0.00042,0.09417,0.63,31.8,Q2,229/575,29,93.10%,8,8.9,27
INTERNATIONAL ECONOMICS AND ECONOMIC POLICY,INT ECON ECON POL,SPRINGER HEIDELBERG,1612-4804,1612-4812,ECONOMICS,ESCI,495,1.5,Q2,0.42,27.91%,293/617,1.4,Q3,1.5,0.4,335/617,Q3,45.79,0.00059,0.13247,0.486,52.6,Q2,287/575,34,100.00%,6.4,10.6,34
Journal of Economics and Development,J ECON DEV-VIETNAM,EMERALD GROUP PUBLISHING LTD,1859-0020,2632-5330,ECONOMICS,ESCI,494,4.3,Q1,1.54,100.00%,65/617,,,4.2,1.8,62/617,Q1,90.03,0.00044,0.09929,,89.5,,,26,100.00%,3.2,9.2,26
ECONOMIC AFFAIRS,ECON AFFA,WILEY,0265-0665,1468-0270,ECONOMICS,ESCI,490,1.8,Q2,0.21,35.44%,234/617,1.6,Q3,1.6,0.8,485/617,Q4,21.47,0.00039,0.08829,0.386,62.2,Q3,326/575,25,80.00%,6.3,7.9,20
Eurasian Economic Review,EURASIAN ECON REV,SPRINGER HEIDELBERG,1309-422X,2147-429X,ECONOMICS,ESCI,488,2.3,Q2,0.87,31.18%,175/617,2.7,Q2,1.9,0.9,159/617,Q2,74.31,0.00043,0.09718,0.395,71.7,Q3,320/575,43,100.00%,3.8,6.1,43
Innovation and Development,INNOV DEV,TAYLOR & FRANCIS LTD,2157-930X,2157-9318,ECONOMICS,ESCI,484,1.7,Q2,0.62,28.26%,260/617,1.8,Q2,1.6,0.3,245/617,Q2,60.37,0.00039,0.08896,0.34,57.9,Q3,356/575,14,100.00%,4.7,8.6,14
Economics of Transportation,ECON TRANSP,ELSEVIER,2212-0122,2212-0130,ECONOMICS,SSCI,484,1.7,Q2,0.61,30.00%,260/617,2.9,Q2,1.6,0.8,249/617,Q2,59.72,0.0006,0.13506,0.893,57.9,Q2,165/575,20,95.00%,5.5,8.9,19
Games,GAMES-BASEL,MDPI,2073-4336,2073-4336,ECONOMICS,ESCI,478,0.5,Q4,0.23,100.00%,495/617,0.7,Q4,0.4,0.1,474/617,Q4,23.26,0.00077,0.17334,0.281,19.9,Q3,392/575,45,97.78%,5.7,11.6,44
International Advances in Economic Research,INT ADV ECON RES,SPRINGER,1339-5629,1573-966X,ECONOMICS,ESCI,477,0.7,Q3,0.3,29.73%,460/617,1.2,Q3,0.7,0.3,422/617,Q3,31.69,0.00021,0.04846,0.226,25.5,Q4,434/575,34,100.00%,11,8.8,34
JAPANESE ECONOMIC REVIEW,JPN ECON REV,SPRINGER HEIDELBERG,1352-4739,1468-5876,ECONOMICS,SSCI,475,0.5,Q4,0.36,28.81%,495/617,1.2,Q3,0.5,0.9,384/617,Q3,37.84,0.00042,0.09412,0.369,19.9,Q3,339/575,31,100.00%,8.5,9.3,31
DEVELOPING ECONOMIES,DEV ECON,WILEY,0012-1533,1746-1049,ECONOMICS,SSCI,474,1.4,Q3,0.53,11.11%,309/617,1.6,Q3,1.3,0.1,288/617,Q2,53.4,0.00013,0.03029,0.302,50,Q3,375/575,15,100.00%,15.9,10.2,15
Contemporary Economics,CONTEMP ECON,UNIV ECONOMICS & HUMAN SCIENCES WARSAW,2084-0845,2300-8814,ECONOMICS,ESCI,467,2.3,Q2,0.72,81.40%,175/617,1.7,Q2,2.1,0.2,208/617,Q2,66.37,0.00024,0.05398,0.185,71.7,Q4,456/575,28,96.43%,4.5,7.2,27
Water Resources and Economics,WATER RESOUR ECON,ELSEVIER,2212-4284,2212-4284,ECONOMICS,SSCI,463,1.9,Q2,0.53,35.00%,225/617,2.4,Q2,1.9,0.4,288/617,Q2,53.4,0.00044,0.10001,0.537,63.6,Q2,266/575,18,100.00%,5.2,7.6,18
INTERNATIONAL JOURNAL OF POLITICAL ECONOMY,INT J POLIT ECON,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0891-1916,1558-0970,ECONOMICS,ESCI,461,1.3,Q3,0.42,9.68%,332/617,1.7,Q2,1.2,0.5,335/617,Q3,45.79,0.00034,0.0757,0.439,46.3,Q3,303/575,24,100.00%,8.1,10.2,24
European Journal of the History of Economic Thought,EUR J HIST ECON THOU,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0967-2567,1469-5936,ECONOMICS,SSCI,460,0.7,Q3,0.66,15.86%,460/617,0.7,Q4,0.5,0.1,231/617,Q2,62.64,0.00058,0.1297,0.315,25.5,Q3,371/575,52,98.08%,8.4,32.3,51
Global Economic Review,GLOBAL ECON REV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1226-508X,1744-3873,ECONOMICS,SSCI,458,2.6,Q1,0.7,0.00%,145/617,1.9,Q2,2.6,0.1,212/617,Q2,65.72,0.00026,0.05957,0.346,76.6,Q3,353/575,15,100.00%,7.9,9.8,15
International Finance,INT FINANC,WILEY,1367-0271,1468-2362,ECONOMICS,SSCI,453,1.5,Q2,0.4,4.08%,293/617,1.4,Q3,1.5,0.2,353/617,Q3,42.87,0.00031,0.06996,0.379,52.6,Q3,332/575,10,100.00%,10.2,9.5,10
Economics of Governance,ECON GOV,SPRINGER HEIDELBERG,1435-6104,1435-8131,ECONOMICS,SSCI,453,0.8,Q3,0.31,23.53%,442/617,1.1,Q3,0.8,0.3,418/617,Q3,32.33,0.00025,0.05712,0.378,28.4,Q3,334/575,14,100.00%,12.6,12.4,14
American Journal of Health Economics,AM J HEALTH ECON,UNIV CHICAGO PRESS,2332-3493,2332-3507,ECONOMICS,SSCI,451,2,Q2,1.08,3.03%,212/617,2.9,Q2,1.9,0.5,119/617,Q1,80.79,0.00157,0.35114,2.059,65.7,Q1,66/575,23,100.00%,4.3,8.8,23
Asian Economic Papers,ASIAN ECON PAP,MIT PRESS,1535-3516,1536-0083,ECONOMICS,SSCI,451,1.1,Q3,1.75,1.54%,372/617,2.1,Q2,0.9,0.3,39/617,Q1,93.76,0.00035,0.07868,0.461,39.8,Q3,291/575,32,100.00%,6.3,4.7,32
National Institute Economic Review,NATL INST ECON REV,CAMBRIDGE UNIV PRESS,0027-9501,1741-3036,ECONOMICS,ESCI,444,1,Q3,0.34,34.48%,391/617,1.1,Q3,0.9,0.1,399/617,Q3,35.41,0.00059,0.13332,0.506,36.7,Q2,280/575,9,100.00%,8.1,4.1,9
Baltic Journal of Economic Studies,BALT J ECON STUD,Baltija Publishing,2256-0742,2256-0963,ECONOMICS,ESCI,443,0.6,Q4,0.18,99.08%,480/617,0.5,Q4,0.3,0.2,508/617,Q4,17.75,0.00029,0.06501,0.057,22.3,Q4,547/575,180,100.00%,3.7,6,180
Montenegrin Journal of Economics,MONTENEGRIN J ECON,ECONOMIC LABORATORY TRANSITION RESEARCH PODGORICA-ELIT,1800-5845,1800-6698,ECONOMICS,ESCI,426,1,Q3,0.47,81.31%,391/617,0.9,Q3,1,0.3,307/617,Q2,50.32,0.00029,0.06534,0.111,36.7,Q4,498/575,80,100.00%,3.6,8.1,80
Journal of Entrepreneurship and Public Policy,J ENTREP PUBLIC POLI,EMERALD GROUP PUBLISHING LTD,2045-2101,2045-211X,ECONOMICS,ESCI,422,1.7,Q2,0.46,2.74%,260/617,2.1,Q2,1.5,0.5,314/617,Q3,49.19,0.00034,0.07664,0.369,57.9,Q3,339/575,35,97.14%,5.2,7.5,34
International Trade Journal,INT TRADE J,TAYLOR & FRANCIS LTD,0885-3908,1521-0545,ECONOMICS,ESCI,416,1.1,Q3,0.4,9.18%,372/617,,,1,0.6,353/617,Q3,42.87,0.00017,0.03918,,39.8,,,39,100.00%,6.7,12.3,39
Voprosy Ekonomiki,VOPR EKON,"VOPROSY EKONOMIKI, NP",0042-8736,0042-8736,ECONOMICS,ESCI,413,0.5,Q4,0.23,0.00%,495/617,0.5,Q4,0.4,0.1,474/617,Q4,23.26,0.00044,0.09849,0.12,19.9,Q4,494/575,88,98.86%,5.3,9.5,87
Journal of Competition Law & Economics,J COMPET LAW ECON,OXFORD UNIV PRESS,1744-6414,1744-6422,ECONOMICS,SSCI,412,1.2,Q3,0.91,26.42%,349/617,1.2,Q3,1.2,0.3,151/617,Q1,75.61,0.00051,0.11459,0.572,43.5,Q2,251/575,20,100.00%,7.7,10.6,20
CIRIEC-Espana Revista de Economia Publica Social y Cooperativa,CIRIEC,CIRIEC-ESPANA,0213-8093,1989-6816,ECONOMICS,ESCI,408,1.4,Q3,0.21,97.03%,309/617,1.3,Q3,1.1,0.5,485/617,Q4,21.47,0.00023,0.05155,0.186,50,Q4,454/575,35,100.00%,5.4,7.7,35
Economics of Energy & Environmental Policy,ECON ENERGY ENV POL,INT ASSOC ENERGY ECONOMICS,2160-5882,2160-5890,ECONOMICS,SSCI,407,1.2,Q3,0.35,9.09%,349/617,1.6,Q3,0.9,0.4,393/617,Q3,36.39,0.00032,0.07126,0.401,43.5,Q3,317/575,19,94.74%,7.4,6.3,18
American Law and Economics Review,AM LAW ECON REV,OXFORD UNIV PRESS INC,1465-7252,1465-7260,ECONOMICS,SSCI,404,0.8,Q3,0.75,6.45%,442/617,1.1,Q3,0.8,0.2,196/617,Q2,68.31,0.00056,0.12477,1.203,28.4,Q1,120/575,10,100.00%,13.9,15,10
Mathematics and Financial Economics,MATH FINANC ECON,SPRINGER HEIDELBERG,1862-9679,1862-9660,ECONOMICS,SSCI,398,1,Q3,0.34,40.00%,391/617,1.1,Q3,0.9,0.3,399/617,Q3,35.41,0.0006,0.13482,0.59,36.7,Q2,241/575,29,100.00%,7.2,12.4,29
REVUE ECONOMIQUE,REV ECON-FR,PRESSES FOND NAT SCI POLIT,0035-2764,1950-6694,ECONOMICS,ESCI,398,0.5,Q4,0.09,0.92%,495/617,0.6,Q4,0.5,0.1,570/617,Q4,7.7,0.00045,0.101,0.276,19.9,Q3,397/575,33,100.00%,10.2,13.3,33
Estudios Gerenciales,ESTUD GERENC,UNIV ICESI,0123-5923,0123-5923,ECONOMICS,ESCI,393,0.8,Q3,0.23,82.91%,442/617,0.9,Q3,0.6,0.1,474/617,Q4,23.26,0.00019,0.04393,0.116,28.4,Q4,495/575,37,97.30%,6.5,7.6,36
ATLANTIC ECONOMIC JOURNAL,ATLANTIC ECON J,SPRINGER,0197-4254,1573-9678,ECONOMICS,ESCI,393,0.8,Q3,0.19,18.03%,442/617,0.6,Q4,0.8,0.1,499/617,Q4,19.21,0.00015,0.03362,0.149,28.4,Q4,478/575,25,100.00%,12,8.6,25
Asia-Pacific Journal of Regional Science,ASIA-PAC J REG SCI,SPRINGERNATURE,2683-1007,2509-7954,ECONOMICS,ESCI,391,1.7,Q2,0.47,9.63%,260/617,1.6,Q3,1.6,0.1,307/617,Q2,50.32,0.00051,0.11491,0.294,57.9,Q3,382/575,41,100.00%,3.2,6.1,41
International Review of Environmental and Resource Economics,INT REV ENVIRON RESO,NOW PUBLISHERS INC,1932-1465,1932-1473,ECONOMICS,ESCI,388,1.1,Q3,0.3,0.00%,372/617,2.4,Q2,1.1,0.9,422/617,Q3,31.69,0.00031,0.06998,0.847,39.8,Q2,173/575,10,80.00%,9.5,10.3,8
Asian Economic Journal,ASIAN ECON J,WILEY,1351-3958,1467-8381,ECONOMICS,SSCI,378,1.1,Q3,0.28,12.73%,372/617,1.2,Q3,1.1,0.1,442/617,Q3,28.44,0.00017,0.04004,0.245,39.8,Q3,420/575,16,100.00%,11,8.5,16
Studies in Business and Economics,STUD BUS ECON-ROM,SCIENDO,1842-4120,2344-5416,ECONOMICS,ESCI,374,0.9,Q3,0.24,89.01%,421/617,0.8,Q4,0.9,0.1,467/617,Q4,24.39,0.00023,0.05337,0.101,31.8,Q4,505/575,60,100.00%,4.3,6.5,60
OPEC Energy Review,OPEC ENERGY REV,WILEY,1753-0229,1753-0237,ECONOMICS,ESCI,371,2.3,Q2,0.7,7.14%,175/617,2.1,Q2,2.2,0.2,212/617,Q2,65.72,0.00024,0.0549,0.269,71.7,Q3,404/575,22,100.00%,4.6,5.5,22
Asian Development Review,ASIAN DEVELOP REV,WORLD SCIENTIFIC PUBL CO PTE LTD,0116-1105,1996-7241,ECONOMICS,ESCI,369,1.1,Q3,0.36,56.25%,372/617,,,1,0.8,384/617,Q3,37.84,0.00036,0.08214,,39.8,,,25,100.00%,6.7,9.6,25
Journal of Economic Interaction and Coordination,J ECON INTERACT COOR,SPRINGER HEIDELBERG,1860-711X,1860-7128,ECONOMICS,SSCI,362,1,Q3,0.35,49.44%,391/617,1.1,Q3,0.8,0.3,393/617,Q3,36.39,0.00038,0.08669,0.275,36.7,Q3,399/575,38,100.00%,5.5,11.3,38
Annals of Economics and Finance,ANN ECON FINANC,WUHAN UNIV JOURNALS PRESS,1529-7373,1529-7373,ECONOMICS,SSCI,361,0.5,Q4,0.1,0.00%,495/617,0.4,Q4,0.4,0.1,559/617,Q4,9.48,0.00008,0.01809,0.098,19.9,Q4,507/575,24,100.00%,11.5,13.6,24
RISK MANAGEMENT AND INSURANCE REVIEW,RISK MANAG INSUR REV,WILEY,1098-1616,1540-6296,ECONOMICS,ESCI,358,1.4,Q3,0.38,42.62%,309/617,1.5,Q3,1.2,0.3,366/617,Q3,40.76,0.00024,0.05517,0.353,50,Q3,347/575,23,100.00%,8,10.6,23
World,WORLD-BASEL,MDPI,2673-4060,2673-4060,ECONOMICS,ESCI,356,1.9,Q2,0.94,100.00%,225/617,2,Q2,1.8,0.4,144/617,Q1,76.74,0.00048,0.10862,0.386,63.6,Q3,326/575,71,81.69%,2.5,5.8,58
B E Journal of Macroeconomics,BE J MACROECON,WALTER DE GRUYTER GMBH,2194-6116,1935-1690,ECONOMICS,SSCI,352,0.5,Q4,0.15,3.57%,495/617,0.5,Q4,0.4,0.2,526/617,Q4,14.83,0.0003,0.0682,0.262,19.9,Q3,407/575,18,100.00%,11.8,11.3,18
Journal of Social and Economic Development,J SOCIAL EC DEV,SPRINGER INDIA,0972-5792,2199-6873,ECONOMICS,ESCI,350,1,Q3,0.37,16.75%,391/617,1.3,Q3,0.9,0.2,373/617,Q3,39.63,0.00041,0.0923,0.248,36.7,Q3,419/575,92,100.00%,3.4,10.5,92
Journal of Asian Business and Economic Studies,J ASIAN BUS ECON ST,EMERALD GROUP PUBLISHING LTD,2515-964X,2515-964X,ECONOMICS,ESCI,348,3.6,Q1,1.1,96.88%,88/617,3.4,Q1,3.6,0.7,115/617,Q1,81.44,0.00033,0.07517,0.475,85.8,Q3,288/575,30,100.00%,3.4,9.3,30
Bio-based and Applied Economics,BIO-BASED APPL ECON,FIRENZE UNIV PRESS,2280-6180,2280-6172,ECONOMICS,ESCI,348,1.7,Q2,0.55,98.36%,260/617,2,Q2,1.4,1,272/617,Q2,56,0.00028,0.06398,0.414,57.9,Q3,310/575,21,95.24%,5,6.6,20
Journal of Health Economics and Outcomes Research,J HEALTH ECON OUTCOM,"COLUMBIA DATA ANALYTICS, LLC",2327-2236,2327-2236,ECONOMICS,ESCI,346,2.3,Q2,0.79,96.12%,175/617,,,2.2,0.2,183/617,Q2,70.42,0.00082,0.18425,,71.7,,,39,97.44%,3.2,6.5,38
Journal of Neuroscience Psychology and Economics,J NEUROSCI PSYCHOL E,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,1923-6530,2151-318X,ECONOMICS,SSCI,345,0.9,Q3,0.37,4.88%,421/617,0.8,Q4,0.9,0.5,373/617,Q3,39.63,0.00014,0.03221,0.254,31.8,Q3,413/575,10,100.00%,10.9,9,10
Portuguese Economic Journal,PORT ECON J,SPRINGER HEIDELBERG,1617-982X,1617-9838,ECONOMICS,SSCI,339,2.2,Q2,0.63,22.64%,189/617,1.7,Q2,2.1,0.1,243/617,Q2,60.7,0.00021,0.0476,0.308,69.4,Q3,373/575,15,100.00%,7.9,8,15
Journal of the Economic Science Association-JESA,J ECON SCI ASSOC-JES,CAMBRIDGE UNIV PRESS,2199-6784,2199-6776,ECONOMICS,ESCI,334,0.6,Q4,0.36,48.44%,480/617,1.2,Q3,0.5,0.2,384/617,Q3,37.84,0.00068,0.15199,1.005,22.3,Q2,147/575,28,100.00%,9,12.4,28
International Journal of Health Economics and Management,INT J HEALTH ECON MA,SPRINGER,2199-9023,2199-9031,ECONOMICS,SSCI,333,1.7,Q2,0.49,36.23%,260/617,1.9,Q2,1.7,0.2,298/617,Q2,51.78,0.00059,0.13241,0.649,57.9,Q2,221/575,25,100.00%,4.5,9.2,25
Romanian Journal of Economic Forecasting,ROM J ECON FORECAST,INST ECONOMIC FORECASTING,1582-6163,2537-6071,ECONOMICS,SSCI,333,1,Q3,0.29,0.00%,391/617,0.8,Q4,0.8,0.1,434/617,Q3,29.74,0.00014,0.03119,0.088,36.7,Q4,518/575,35,100.00%,6.3,8.7,35
Foresight and STI Governance,FORESIGHT STI GOV,NATL RESEARCH UNIV HIGHER SCH ECONOMICS,1995-459X,2500-2597,ECONOMICS,ESCI,332,1,Q3,0.29,84.09%,391/617,1.3,Q3,1,<0.1,434/617,Q3,29.74,0.00031,0.06913,0.267,36.7,Q3,405/575,29,96.55%,5.4,6.7,28
Investigaciones Regionales-Journal of Regional Research,INVESTIG REG,ASOC ESPANOLA CIENCIA REGIONAL-AECR,1695-7253,2340-2717,ECONOMICS,ESCI,327,1.3,Q3,0.28,88.24%,332/617,1,Q3,1.2,0.5,442/617,Q3,28.44,0.00026,0.05945,0.297,46.3,Q3,378/575,28,100.00%,6.9,10.5,28
Economic Papers,ECON PAP,WILEY,0812-0439,1759-3441,ECONOMICS,ESCI,326,0.9,Q3,0.28,36.36%,421/617,0.9,Q3,0.9,<0.1,442/617,Q3,28.44,0.0002,0.04635,0.208,31.8,Q4,443/575,16,100.00%,8.4,9.5,16
REVESCO-Revista de Estudios Cooperativos,REVESCO-REV ESTUD CO,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES",2956-7602,1135-6618,ECONOMICS,ESCI,326,0.9,Q3,0.23,97.65%,421/617,1,Q3,0.7,0.5,474/617,Q4,23.26,0.0002,0.04517,0.161,31.8,Q4,471/575,26,100.00%,5.4,7.2,26
Forum for Social Economics,FORUM SOC ECON,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0736-0932,1874-6381,ECONOMICS,ESCI,325,1.2,Q3,0.31,17.59%,349/617,1.2,Q3,1,0.1,418/617,Q3,32.33,0.00031,0.06991,0.245,43.5,Q3,420/575,46,91.30%,4.6,9,42
International Journal of Management and Economics,INT J MANAG ECON,SCIENDO,2981-0795,2543-5361,ECONOMICS,ESCI,325,0.8,Q3,0.13,100.00%,442/617,1.2,Q3,0.8,0.1,537/617,Q4,13.05,0.00015,0.03508,0.162,28.4,Q4,469/575,34,100.00%,6.3,8.5,34
Annals of Financial Economics,ANN FINANC ECON,WORLD SCIENTIFIC PUBL CO PTE LTD,2010-4952,2010-4960,ECONOMICS,ESCI,322,3.6,Q1,1.27,0.00%,88/617,2.5,Q2,3.1,0.3,91/617,Q1,85.33,0.00015,0.0347,0.178,85.8,Q4,460/575,16,100.00%,2.9,6.7,16
Annals of Actuarial Science,ANN ACTUAR SCI,CAMBRIDGE UNIV PRESS,1748-4995,1748-5002,ECONOMICS,ESCI,322,1,Q3,0.55,64.79%,391/617,1.8,Q2,0.9,0.7,272/617,Q2,56,0.00072,0.1609,0.744,36.7,Q2,194/575,30,96.67%,3.9,9.7,29
Economic Notes,ECON NOTES,WILEY,0391-5026,1468-0300,ECONOMICS,ESCI,318,1.4,Q3,0.32,11.90%,309/617,1.2,Q3,1.4,<0.1,412/617,Q3,33.31,0.0002,0.04492,0.275,50,Q3,399/575,17,100.00%,9.1,8.2,17
Italian Economic Journal,ITAL ECON J,SPRINGER HEIDELBERG,2199-322X,2199-3238,ECONOMICS,ESCI,314,1.2,Q3,0.4,53.97%,349/617,1.4,Q3,1.1,0.5,353/617,Q3,42.87,0.00074,0.16559,0.564,43.5,Q2,255/575,48,97.92%,3.5,9.8,47
Cliometrica,CLIOMETRICA,SPRINGER HEIDELBERG,1863-2505,1863-2513,ECONOMICS,SSCI,313,0.7,Q3,1.73,57.14%,460/617,1.3,Q3,0.7,0.3,44/617,Q1,92.95,0.00086,0.19249,1.043,25.5,Q1,140/575,19,100.00%,6.9,18.7,19
ECONOMIC AND SOCIAL REVIEW,ECON SOC REV,ECONOMIC & SOCIAL STUDIES,0012-9984,0012-9984,ECONOMICS,SSCI,308,0.4,Q4,0.17,0.00%,530/617,0.6,Q4,0.4,0.2,515/617,Q4,16.61,0.00012,0.02723,0.178,14.2,Q4,460/575,19,100.00%,11.3,6.8,19
JOURNAL OF QUANTITATIVE ECONOMICS,J QUANT ECON,SPRINGER,0971-1554,2364-1045,ECONOMICS,ESCI,307,0.6,Q4,0.19,8.33%,480/617,0.8,Q4,0.6,0.2,499/617,Q4,19.21,0.00028,0.06392,0.155,22.3,Q4,477/575,67,100.00%,5.1,12.2,67
Prague Economic Papers,PRAGUE ECON PAP,Prague Univ Economics and Business,1210-0455,2336-730X,ECONOMICS,SSCI,305,1,Q3,0.25,98.77%,391/617,0.8,Q4,1,<0.1,463/617,Q4,25.04,0.00016,0.03697,0.131,36.7,Q4,488/575,29,96.55%,7,10.8,28
Series-Journal of the Spanish Economic Association,SERIES-J SPAN ECON,SPRINGER HEIDELBERG,1869-4187,1869-4195,ECONOMICS,SSCI,301,0.5,Q4,0.27,100.00%,495/617,1.2,Q3,0.5,0.4,453/617,Q3,26.66,0.00044,0.09981,0.573,19.9,Q2,250/575,9,100.00%,7.4,10.1,9
Panoeconomicus,PANOECONOMICUS,SAVEZ EKONOMISTA VOJVODINE,1452-595X,2217-2386,ECONOMICS,SSCI,299,0.8,Q3,0.3,98.70%,442/617,0.9,Q3,0.8,0.5,422/617,Q3,31.69,0.00021,0.0473,0.181,28.4,Q4,458/575,23,100.00%,6,14,23
ACTA OECONOMICA,ACTA OECON,AKADEMIAI KIADO ZRT,0001-6373,1588-2659,ECONOMICS,SSCI,299,0.7,Q3,0.2,28.85%,460/617,0.7,Q4,0.6,0.1,491/617,Q4,20.5,0.00022,0.05079,0.143,25.5,Q4,480/575,27,96.30%,6,8.8,26
SCANDINAVIAN ECONOMIC HISTORY REVIEW,SCAND ECON HIST REV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0358-5522,1750-2837,ECONOMICS,ESCI,292,1,Q3,0.22,76.67%,391/617,1,Q3,0.9,<0.1,481/617,Q4,22.12,0.00035,0.07932,0.501,36.7,Q2,282/575,12,100.00%,11.8,22.4,12
Review of Regional Studies,REV REG STUD,SOUTHERN REGIONAL SCIENCE ASSOC,0048-749X,1553-0892,ECONOMICS,ESCI,289,0.4,Q4,0.19,0.00%,530/617,0.7,Q4,0.4,<0.1,499/617,Q4,19.21,0.00014,0.03257,0.215,14.2,Q4,439/575,12,100.00%,10.6,7.2,12
Journal of Korea Trade,J KOREA TRADE,KOREA TRADE RESEARCH ASSOC,1229-828X,1229-828X,ECONOMICS,SSCI,285,1.2,Q3,0.27,0.00%,349/617,0.7,Q4,0.2,0.1,453/617,Q3,26.66,0.0001,0.02309,0.046,43.5,Q4,554/575,66,100.00%,3.2,8.7,66
Independent Review,INDEP REV,INDEPENDENT INST,1086-1653,2169-3420,ECONOMICS,SSCI,281,0.2,Q4,0.08,0.00%,575/617,0.2,Q4,0.2,0.2,576/617,Q4,6.73,0.00013,0.02981,0.104,6.9,Q4,504/575,15,93.33%,13.8,20.5,14
Journal of Demographic Economics,J DEMOGR ECON,CAMBRIDGE UNIV PRESS,2054-0892,2054-0906,ECONOMICS,SSCI,278,0.7,Q3,0.45,28.36%,460/617,1.4,Q3,0.7,0.2,319/617,Q3,48.38,0.0005,0.11151,0.561,25.5,Q2,256/575,25,100.00%,4.4,11.9,25
Review of Network Economics,REV NETW ECON,WALTER DE GRUYTER GMBH,2194-5993,1446-9022,ECONOMICS,SSCI,277,0.2,Q4,0.19,6.90%,575/617,0.6,Q4,0.2,<0.1,499/617,Q4,19.21,0.00004,0.01062,0.168,6.9,Q4,465/575,12,100.00%,16.6,14.2,12
